"Redes de ensino inabilitadas à complementação VAAR 2025 pelo não cumprimento de condicionalidades de melhoria de gestão previstas no art. 14, § 1º, incisos I a V, da Lei nº 14.113/2020, ou por não terem alcançado evolução em indicadores de
atendimento e de melhoria da aprendizagem com redução das desigualdades previstos no art. 14, § 2º da Lei nº 14.113/2020",,,
UF,Ente Federado,Código IBGE,Motivo
BA,MIRANTE,2921450,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MONTE SANTO,2921500,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MORRO DO CHAPEU,2921708,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MUCUGE,2921906,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MUCURI,2922003,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
BA,MULUNGU DO MORRO,2922052,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MURITIBA,2922300,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,NAZARE,2922508,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,NOVA CANAA,2922706,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,NOVA ITARANA,2922805,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,NOVA VICOSA,2923001,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,PALMAS DE MONTE ALTO,2923407,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,PAULO AFONSO,2924009,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,PEDRAO,2924108,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,PIATA,2924306,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,PINTADAS,2924652,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,PIRAI DO NORTE,2924678,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,PIRIPA,2924702,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,PLANALTO,2925006,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,POCOES,2925105,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,POJUCA,2925204,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,PONTO NOVO,2925253,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,PRADO,2925501,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,PRESIDENTE TANCREDO NEVES,2925758,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,RAFAEL JAMBEIRO,2925956,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,REMANSO,2926004,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,RIACHO DE SANTANA,2926400,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,RIBEIRA DO POMBAL,2926608,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,RIBEIRAO DO LARGO,2926657,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,SALVADOR,2927408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SANTA BRIGIDA,2927606,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SANTA CRUZ CABRALIA,2927705,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,SANTA CRUZ DA VITORIA,2927804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SANTA LUZIA,2928059,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
BA,SANTA MARIA DA VITORIA,2928109,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SANTA RITA DE CASSIA,2928406,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,SANTALUZ,2928000,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,SANTO AMARO,2928604,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
BA,SANTO ANTONIO DE JESUS,2928703,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SAO DESIDERIO,2928901,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,SAO FRANCISCO DO CONDE,2929206,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SAO JOSE DA VITORIA,2929354,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,SATIRO DIAS,2929701,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SAUBARA,2929750,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
BA,SAUDE,2929800,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SEBASTIAO LARANJEIRAS,2930006,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
BA,SERRA DO RAMALHO,2930154,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SERROLANDIA,2930600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,SIMOES FILHO,2930709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
