"Redes de ensino inabilitadas à complementação VAAR 2025 pelo não cumprimento de condicionalidades de melhoria de gestão previstas no art. 14, § 1º, incisos I a V, da Lei nº 14.113/2020, ou por não terem alcançado evolução em indicadores de
atendimento e de melhoria da aprendizagem com redução das desigualdades previstos no art. 14, § 2º da Lei nº 14.113/2020",,,
UF,Ente Federado,Código IBGE,Motivo
RS,SAO JOSE DO INHACORA,4318499,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,SAO JOSE DO OURO,4318606,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
RS,SAO JOSE DOS AUSENTES,4318622,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
RS,SAO LEOPOLDO,4318705,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
RS,SAO LUIZ GONZAGA,4318903,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
RS,SAO MARCOS,4319000,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
RS,SAO MARTINHO DA SERRA,4319125,"Não cumprimento do disposto no art. 14, § 1º, V da Lei nº 14113/2020"
RS,SAO NICOLAU,4319208,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
RS,SAO PEDRO DAS MISSOES,4319364,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
RS,SAO PEDRO DO SUL,4319406,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
RS,SAO SEBASTIAO DO CAI,4319505,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
RS,SAO VALERIO DO SUL,4319737,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
RS,SAPIRANGA,4319901,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,SAPUCAIA DO SUL,4320008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,SARANDI,4320107,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,SERAFINA CORREA,4320404,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,SERTAO SANTANA,4320552,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
RS,SETE DE SETEMBRO,4320578,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
RS,SEVERIANO DE ALMEIDA,4320602,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
RS,SILVEIRA MARTINS,4320651,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
RS,TAQUARA,4321204,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TAQUARI,4321303,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
RS,TAQUARUCU DO SUL,4321329,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TAVARES,4321352,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TENENTE PORTELA,4321402,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TERRA DE AREIA,4321436,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TEUTONIA,4321451,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TOROPI,4321493,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TORRES,4321501,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TRAMANDAI,4321600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TRES COROAS,4321709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TRES DE MAIO,4321808,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
RS,TRES PALMEIRAS,4321857,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
RS,TRINDADE DO SUL,4321956,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TUNAS,4322152,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
RS,TUPANCIRETA,4322202,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,TUPANDI,4322251,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,UNIAO DA SERRA,4322350,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
RS,UNISTALDA,4322376,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
RS,URUGUAIANA,4322400,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
RS,VACARIA,4322509,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
RS,VALE DO SOL,4322533,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,VALE REAL,4322541,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,VALE VERDE,4322525,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
RS,VENANCIO AIRES,4322608,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
RS,VERANOPOLIS,4322806,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,VESPASIANO CORREA,4322855,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
RS,VIAMAO,4323002,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
RS,VILA FLORES,4323309,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
RS,VILA MARIA,4323408,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
RS,VISTA ALEGRE DO PRATA,4323606,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
RS,WESTFALIA,4323770,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
RS,XANGRI-LA,4323804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,AGUA DOCE,4200408,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,AGUAS MORNAS,4200606,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,ALFREDO WAGNER,4200705,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ALTO BELA VISTA,4200754,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ANCHIETA,4200804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ANGELINA,4200903,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,ANITA GARIBALDI,4201000,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ANTONIO CARLOS,4201208,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ARABUTA,4201273,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ARAQUARI,4201307,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ARARANGUA,4201406,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ARMAZEM,4201505,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ARROIO TRINTA,4201604,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ARVOREDO,4201653,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,AURORA,4201901,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,BALNEARIO ARROIO DO SILVA,4201950,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,BALNEARIO BARRA DO SUL,4202057,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,BALNEARIO CAMBORIU,4202008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,BALNEARIO GAIVOTA,4202073,"Não cumprimento do disposto no art. 14, § 1º, I, II e III da Lei nº 14113/2020"
SC,BALNEARIO PICARRAS,4212809,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,BALNEARIO RINCAO,4220000,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,BANDEIRANTE,4202081,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,BARRA VELHA,4202107,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,BLUMENAU,4202404,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,BOM JARDIM DA SERRA,4202503,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,BOM JESUS DO OESTE,4202578,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,BOMBINHAS,4202453,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CACADOR,4203006,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,CAMBORIU,4203204,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,CAMPO ALEGRE,4203303,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CAMPOS NOVOS,4203600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CAPAO ALTO,4203253,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CAPINZAL,4203907,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CAPIVARI DE BAIXO,4203956,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,CELSO RAMOS,4204152,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,CHAPECO,4204202,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CONCORDIA,4204301,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CORUPA,4204509,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CRICIUMA,4204608,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CUNHA PORA,4204707,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,CURITIBANOS,4204806,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,DESCANSO,4204905,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,DIONISIO CERQUEIRA,4205001,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,ERMO,4205191,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,ERVAL VELHO,4205209,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,FLORIANOPOLIS,4205407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,FORMOSA DO SUL,4205431,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,FORQUILHINHA,4205456,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,FRAIBURGO,4205506,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,GAROPABA,4205704,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,GARUVA,4205803,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,GRAO PARA,4206108,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,GUARACIABA,4206405,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,GUARAMIRIM,4206504,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,IBIRAMA,4206900,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,IMARUI,4207205,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,IMBUIA,4207403,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,INDAIAL,4207502,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,IPIRA,4207601,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,IRANI,4207809,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,IRINEOPOLIS,4207908,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ITA,4208005,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ITAJAI,4208203,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ITAPEMA,4208302,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ITUPORANGA,4208500,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,JABORA,4208609,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SC,JACINTO MACHADO,4208708,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,JAGUARUNA,4208807,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,JARAGUA DO SUL,4208906,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,JOINVILLE,4209102,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,JOSE BOITEUX,4209151,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,LAGES,4209300,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,LAGUNA,4209409,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,LEBON REGIS,4209706,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,LEOBERTO LEAL,4209805,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,LUZERNA,4210035,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,MAFRA,4210100,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,MAJOR GERCINO,4210209,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
SC,MAJOR VIEIRA,4210308,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,MARACAJA,4210407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,MASSARANDUBA,4210605,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,MELEIRO,4210803,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,MIRIM DOCE,4210852,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,MONTE CARLO,4211058,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,MONTE CASTELO,4211108,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
SC,MORRO DA FUMACA,4211207,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,NAVEGANTES,4211306,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,OTACILIO COSTA,4211751,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,OURO,4211801,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,PAIAL,4211876,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,PALHOCA,4211900,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,PALMA SOLA,4212007,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,PALMEIRA,4212056,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,PALMITOS,4212106,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,PENHA,4212502,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,PINHALZINHO,4212908,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,PIRATUBA,4213104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,PLANALTO ALEGRE,4213153,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,POMERODE,4213203,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SC,PONTE ALTA,4213302,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,PONTE ALTA DO NORTE,4213351,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
SC,PONTE SERRADA,4213401,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,PORTO BELO,4213500,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,PRAIA GRANDE,4213807,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,PRESIDENTE GETULIO,4214003,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,PRESIDENTE NEREU,4214102,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,RANCHO QUEIMADO,4214300,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,RIO DAS ANTAS,4214409,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,RIO DO SUL,4214805,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,RIO DOS CEDROS,4214706,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,RIO FORTUNA,4214904,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,RIO NEGRINHO,4215000,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,RIQUEZA,4215075,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,ROMELANDIA,4215208,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
SC,SALETE,4215307,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SALTINHO,4215356,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SC,SANTA CATARINA,42,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,SANTA ROSA DE LIMA,4215604,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SC,SANTA TEREZINHA,4215679,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SANTA TEREZINHA DO PROGRESSO,4215687,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,SANTO AMARO DA IMPERATRIZ,4215703,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,SAO BENTO DO SUL,4215802,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,SAO BONIFACIO,4215901,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,SAO CARLOS,4216008,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SC,SAO DOMINGOS,4216107,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,SAO FRANCISCO DO SUL,4216206,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SAO JOAO BATISTA,4216305,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SC,SAO JOSE,4216602,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SAO JOSE DO CEDRO,4216701,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SAO LOURENCO DO OESTE,4216909,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SAO LUDGERO,4217006,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SAO MIGUEL DO OESTE,4217204,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SC,SAO PEDRO DE ALCANTARA,4217253,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SC,SCHROEDER,4217402,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SEARA,4217501,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,SERRA ALTA,4217550,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SC,SIDEROPOLIS,4217600,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,SOMBRIO,4217709,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,SUL BRASIL,4217758,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,TAIO,4217808,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,TIJUCAS,4218004,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,TIMBO,4218202,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,TREZE TILIAS,4218509,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,TROMBUDO CENTRAL,4218608,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SC,TURVO,4218806,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,URUSSANGA,4219002,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,VARGEAO,4219101,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SC,VARGEM BONITA,4219176,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
SC,VIDAL RAMOS,4219200,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,XAVANTINA,4219606,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,XAXIM,4219705,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SC,ZORTEA,4219853,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,AMPARO DE SAO FRANCISCO,2800100,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,AQUIDABA,2800209,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
SE,AREIA BRANCA,2800506,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,ESTANCIA,2802106,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,GARARU,2802403,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SE,GRACHO CARDOSO,2802601,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,ITABAIANA,2802908,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,ITABAIANINHA,2803005,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,JAPARATUBA,2803302,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,LAGARTO,2803500,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,MACAMBIRA,2803708,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,MARUIM,2804003,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SE,MOITA BONITA,2804102,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,NOSSA SENHORA DO SOCORRO,2804805,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,PEDRINHAS,2805109,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SE,PIRAMBU,2805307,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SE,POCO REDONDO,2805406,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SE,PORTO DA FOLHA,2805604,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SE,PROPRIA,2805703,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SE,RIACHUELO,2805901,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,RIBEIROPOLIS,2806008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SE,SAO DOMINGOS,2806800,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
SE,TELHA,2807303,"Não cumprimento do disposto no art. 14, § 1º, III e V da Lei nº 14113/2020"
SE,TOMAR DO GERU,2807501,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,ADAMANTINA,3500105,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,ADOLFO,3500204,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
SP,AGUAI,3500303,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,AGUAS DA PRATA,3500402,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,AGUAS DE SANTA BARBARA,3500550,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,AGUAS DE SAO PEDRO,3500600,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SP,AGUDOS,3500709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,ALAMBARI,3500758,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,ALFREDO MARCONDES,3500808,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
SP,ALTO ALEGRE,3501103,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
SP,ALUMINIO,3501152,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SP,ALVARES FLORENCE,3501202,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
SP,ALVARO DE CARVALHO,3501400,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
SP,AMERICANA,3501608,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,AMERICO BRASILIENSE,3501707,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
SP,AMPARO,3501905,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
