UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
AM,1302801,MARAA,"3 0.138.379,22","8 .515.966,30","1 9.823.800,45","1 .900.778,39","30.240.545,14","60.378.924,36"
AM,1302900,MAUES,"7 0.324.221,29","19.870.965,66","38.153.748,86",-,"5 8.024.714,52","128.348.935,81"
AM,1303007,NHAMUNDA,"2 0.920.153,80","5 .911.244,38","9.220.127,96","7 53.402,04","1 5.884.774,38","36.804.928,18"
AM,1303106,NOVA OLINDA DO NORTE,"3 8.360.969,91","10.839.359,49","21.572.326,99","2 .885.452,92","35.297.139,40","73.658.109,31"
AM,1303205,NOVO AIRAO,"1 7.098.587,67","4 .831.414,30","6.058.512,85","1.607.606,04","12.497.533,19","29.596.120,86"
AM,1303304,NOVO ARIPUANA,"1 6.544.793,90","4 .674.933,12","7.908.301,93",-,"1 2.583.235,05","29.128.028,95"
AM,1303403,PARINTINS,"9 6.010.693,65","27.128.991,43","45.894.867,46",-,"7 3.023.858,89","169.034.552,54"
AM,1303502,PAUINI,"2 1.209.248,62","5 .992.931,64","1 0.098.071,44","1 .570.583,33","17.661.586,41","38.870.835,03"
AM,1303536,PRESIDENTE FIGUEIREDO,"4 5.831.040,16","12.950.118,87","9 .059.079,24",-,"2 2.009.198,11","67.840.238,27"
AM,1303569,RIO PRETO DA EVA,"3 4.763.744,05","9 .822.919,50","1 5.412.406,54","3 .027.945,05","28.263.271,09","63.027.015,14"
AM,1303601,SANTA ISABEL DO RIO NEGRO,"2 1.233.301,28","5 .999.728,02","1 6.338.768,88","645.973,40","2 2.984.470,30","44.217.771,58"
AM,1303700,SANTO ANTONIO DO ICA,"5 1.028.510,68","14.418.727,50","41.589.448,88","3 .595.510,64","59.603.687,02","110.632.197,70"
AM,1303809,SAO GABRIEL DA CACHOEIRA,"8 1.982.442,31","23.165.138,07","72.060.193,02",-,"9 5.225.331,09","177.207.773,40"
AM,1303908,SAO PAULO DE OLIVENCA,"6 1.941.032,77","17.502.193,59","49.487.321,71",-,"6 6.989.515,30","128.930.548,07"
AM,1303957,SAO SEBASTIAO DO UATUMA,"9 .955.806,43","2.813.134,42","4.543.078,93","4 08.820,52","7.765.033,87","17.720.840,30"
AM,1304005,SILVES,"1 4.974.351,88","4 .231.185,59","6.846.968,21","6 87.778,89","1 1.765.932,69","26.740.284,57"
AM,1304062,TABATINGA,"1 08.814.991,10","30.747.001,70","88.232.271,68","7 .347.410,08","1 26.326.683,46","235.141.674,56"
AM,1304104,TAPAUA,"3 1.055.898,21","8 .775.222,47","1 9.588.319,41","2 .193.945,88","30.557.487,76","61.613.385,97"
AM,1304203,TEFE,"1 01.253.906,13","28.610.525,01","74.959.795,43",-,"1 03.570.320,44","204.824.226,57"
AM,1304237,TONANTINS,"3 0.763.104,99","8 .692.490,18","1 8.571.783,39","1 .216.647,08","28.480.920,65","59.244.025,64"
AM,1304260,UARINI,"2 1.851.975,15","6 .174.541,85","1 1.627.996,74",-,"1 7.802.538,59","39.654.513,74"
AM,1304302,URUCARA,"1 7.004.050,03","4 .804.701,54","1 0.196.433,92","620.044,03","1 5.621.179,49","32.625.229,52"
AM,1304401,URUCURITUBA,"1 9.122.824,27","5 .403.387,02","9.745.510,68","1.595.329,41","16.744.227,11","35.867.051,38"
AM,13,GOVERNO DO ESTADO,"2 .313.695.827,88","653.762.949,68",-,"1 69.955.783,25","8 23.718.732,93","3.137.414.560,81"
AP,1600105,AMAPA,"1 2.672.126,45",-,"9 73.935,27",-,"9 73.935,27","13.646.061,72"
AP,1600204,CALCOENE,"1 6.764.306,55",-,-,"3 74.500,34","3 74.500,34","17.138.806,89"
AP,1600212,CUTIAS,"7 .872.499,20",-,-,-,-,"7.872.499,20"
AP,1600238,FERREIRA GOMES,"1 5.644.689,90",-,-,-,-,"15.644.689,90"
AP,1600253,ITAUBAL,"1 0.937.678,17",-,"1 .538.983,97",-,"1 .538.983,97","12.476.662,14"
AP,1600279,LARANJAL DO JARI,"6 4.042.837,11",-,-,"3 .411.549,59","3 .411.549,59","67.454.386,70"
AP,1600303,MACAPA,"3 44.340.457,89",-,-,"1 8.682.412,62","1 8.682.412,62","363.022.870,51"
AP,1600402,MAZAGAO,"5 7.321.591,32",-,"1 4.820.555,66","1 .137.991,07","15.958.546,73","73.280.138,05"
AP,1600501,OIAPOQUE,"4 4.315.060,30",-,-,-,-,"44.315.060,30"
