IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
350600,3506003.0,BAURU,-22.253899466674497,-49.12613997539477,0.0,3791460.0,0.0069293,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350610,3506102.0,BEBEDOURO,-20.940443000689807,-48.51072779769571,0.0,763730.0,0.0017436,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350620,3506201.0,BENTO DE ABREU,-21.331694357880536,-50.86191571156688,0.0,26060.0,7.49e-05,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
350635,3506359.0,BERTIOGA,-23.759819092211817,-46.030058554426034,0.0,641880.0,0.0022082,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350640,3506409.0,BILAC,-21.427707385362865,-50.479278616386175,0.0,73190.0,0.0001929,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
350650,3506508.0,BIRIGUI,-21.261674880897623,-50.35100180248788,0.0,1189790.0,0.0032345,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350660,3506607.0,BIRITIBA MIRIM,-23.624160793405963,-46.021332412959616,0.0,0.0,0.0,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
350670,3506706.0,BOA ESPERANÇA DO SUL,-21.93499163599176,-48.46362177261689,0.0,0.0,0.0,,False,0.0
350680,3506805.0,BOCAINA,-22.105468245435556,-48.52903846142771,0.0,112590.0,0.0002675,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350690,3506904.0,BOFETE,-23.12901149863348,-48.28587360486147,0.0,104600.0,0.0003051,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
350700,3507001.0,BOITUVA,-23.28767473561714,-47.674937605213536,0.0,610810.0,0.001628,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
