CODIGO;MUNICIPIO;VA 2024;VA 2023;População;Receita Tributária;Área Cultivada;Área Inundada;Ind. Protegida;Vegetação Nativa;Resíduos Sólidos;Cota Parte Educação;IPM;
614;SANTA FE DO SUL;1.137.630.171;1.151.208.950;34794;34286337;17683,75;0,0054341;0,000000;0,0000000;0,0016180;0,0008828;0,0656696;
615;SANTA GERTRUDES;3.499.876.867;3.765.395.094;23611;25948057;7510,20;0,0000000;0,000522;0,0000000;0,0000000;0,0006144;0,1504163;
616;SANTA ISABEL;1.558.552.143;1.457.036.369;53174;38211432;10454,20;0,0008726;0,630768;0,0000000;0,0015790;0,0013863;0,0885911;
617;SANTA LUCIA;140.814.496;135.665.913;7149;2048656;12682,70;0,0000000;0,000000;0,0000000;0,0012820;0,0001865;0,0135971;
618;SANTA MARIA DA SERRA;176.647.711;126.212.435;5243;3282714;17008,40;0,0047807;0,312410;0,0021383;0,0013090;0,0001860;0,0224414;
619;SANTA MERCEDES;106.582.477;108.516.659;2956;1651061;15948,80;0,0000023;0,000000;0,0000000;0,0012960;0,0001066;0,0119300;
621;SANTA RITA DO PASSA QUATRO;953.136.671;945.081.020;24833;24002354;60341,60;0,0000000;0,152998;0,0000000;0,0013450;0,0005513;0,0597398;
620;SANTA RITA D'OESTE;110.383.370;120.865.675;2733;840671;19890,51;0,0017245;0,000000;0,0000000;0,0000000;0,0000599;0,0125693;
622;SANTA ROSA DE VITERBO;1.166.641.198;1.059.040.069;23411;17206077;18406,10;0,0000000;0,000000;0,0000000;0,0013180;0,0005722;0,0569228;
782;SANTA SALETE;48.240.912;37.394.136;1645;945698;7319,69;0,0000000;0,000000;0,0000000;0,0012430;0,0000132;0,0068510;
624;SANTANA DA PONTE PENSA;60.392.325;68.185.370;1670;581529;12491,26;0,0001058;0,000000;0,0000000;0,0013530;0,0000133;0,0086552;
623;SANTANA DE PARNAIBA;9.104.063.744;8.513.266.625;154105;739531145;1195,90;0,0015630;0,009403;0,0036182;0,0030120;0,0039616;0,4260008;
625;SANTO ANASTACIO;428.253.235;380.789.168;17963;9993066;48212,80;0,0000000;0,000000;0,0000000;0,0013450;0,0003780;0,0327120;
626;SANTO ANDRE;21.455.339.889;20.546.877.989;748919;1304621887;161,00;0,0015023;0,079288;0,0036953;0,0191090;0,0154143;1,0729453;
627;SANTO ANTONIO DA ALEGRIA;229.068.603;255.856.903;6775;5222926;21634,70;0,0000000;0,000000;0,0000000;0,0012340;0,0001895;0,0192259;
