IBGE_6,IBGE_7,Município_Join,latitude,longitude
351880,3518800.0,GUARULHOS,-23.4026907811443,-46.45484853196005
351885,3518859.0,GUATAPARÁ,-21.45332326334319,-47.97989150753618
351890,3518909.0,GUZOLÂNDIA,-20.62853073088625,-50.7135954469529
351900,3519006.0,HERCULÂNDIA,-21.962360002136844,-50.37320744863673
351905,3519055.0,HOLAMBRA,-22.63036785411507,-47.0650552712179
351907,3519071.0,HORTOLÂNDIA,-22.878488186956126,-47.20778417183541
351910,3519105.0,IACANGA,-21.8909385811259,-49.03963250574353
351920,3519204.0,IACRI,-21.79984776053102,-50.61946525931292
351925,3519253.0,IARAS,-22.81920947176087,-49.10680541511443
351930,3519303.0,IBATÉ,-21.95094654979219,-48.02722540047398
351940,3519402.0,IBIRÁ,-21.07474753253819,-49.22040204728826
351950,3519501.0,IBIRAREMA,-22.81330479363722,-50.07687775841689
351960,3519600.0,IBITINGA,-21.79290411216223,-48.847875144559005
351970,3519709.0,IBIÚNA,-23.80240047032518,-47.215270249681964
351980,3519808.0,ICÉM,-20.367208376330414,-49.18535892911394
351990,3519907.0,IEPÊ,-22.648571955010425,-51.0571628825616
352000,3520004.0,IGARAÇU DO TIETÊ,-22.541683428891492,-48.57458072185449
352010,3520103.0,IGARAPAVA,-20.06367844981845,-47.682431821579904
352020,3520202.0,IGARATÁ,-23.134845046302498,-46.1503589150578
352030,3520301.0,IGUAPE,-24.549489179501766,-47.474325953618354
352040,3520400.0,ILHABELA,-23.84851718675476,-45.323260520723125
352042,3520426.0,ILHA COMPRIDA,-24.858933175840637,-47.71517932727811
352044,3520442.0,ILHA SOLTEIRA,-20.43142182377482,-51.25903582703388
352050,3520509.0,INDAIATUBA,-23.10605260971375,-47.20256669381766
352060,3520608.0,INDIANA,-22.133269023983154,-51.262554670698655
352070,3520707.0,INDIAPORÃ,-19.947945728510042,-50.263658371407594
352080,3520806.0,INÚBIA PAULISTA,-21.739045616929364,-50.95745535886662
352090,3520905.0,IPAUSSU,-23.065069594900596,-49.608108978959606
352100,3521002.0,IPERÓ,-23.404453238080855,-47.629179690083056
352110,3521101.0,IPEÚNA,-22.423893945354692,-47.71607604910632
352115,3521150.0,IPIGUÁ,-20.648039628399612,-49.40350289003385
352120,3521200.0,IPORANGA,-24.512690300371492,-48.54630623170817
352130,3521309.0,IPUÃ,-20.417543853914346,-48.066491917447756
352140,3521408.0,IRACEMÁPOLIS,-22.593667930471078,-47.52422323850671
352150,3521507.0,IRAPUÃ,-21.267719436657398,-49.39742733638347
352160,3521606.0,IRAPURU,-21.48427953480708,-51.346484409996926
352170,3521705.0,ITABERÁ,-23.871349047990563,-49.14246429514535
352180,3521804.0,ITAÍ,-23.471448299202702,-49.05417637294303
352190,3521903.0,ITAJOBI,-21.355568309457762,-49.05367456744878
352200,3522000.0,ITAJU,-21.951639471484935,-48.79402943543077
352210,3522109.0,ITANHAÉM,-24.09227391275,-46.83450158414104
352215,3522158.0,ITAOCA,-24.617831651980232,-48.83894476882674
352220,3522208.0,ITAPECERICA DA SERRA,-23.737248501991893,-46.85890802022683
352230,3522307.0,ITAPETININGA,-23.64545924860872,-48.12324890453438
352240,3522406.0,ITAPEVA,-23.9140736304,-48.871723107896386
352250,3522505.0,ITAPEVI,-23.550960348366793,-46.967678411578355
352260,3522604.0,ITAPIRA,-22.431919013024633,-46.772094861237385
352265,3522653.0,ITAPIRAPUÃ PAULISTA,-24.569036863435784,-49.222970730028266
352270,3522703.0,ITÁPOLIS,-21.54811747792739,-48.81543859440193
352280,3522802.0,ITAPORANGA,-23.672909644513393,-49.45849103453046
352290,3522901.0,ITAPUÍ,-22.250835101287898,-48.70136047154007
352300,3523008.0,ITAPURA,-20.594995935010008,-51.44046730556028
352310,3523107.0,ITAQUAQUECETUBA,-23.46148964830576,-46.33393684997863
352320,3523206.0,ITARARÉ,-24.080528626357502,-49.30353203073716
352330,3523305.0,ITARIRI,-24.292619279537867,-47.128052690436384
352340,3523404.0,ITATIBA,-23.006653288287378,-46.81434363161433
352350,3523503.0,ITATINGA,-23.15362681730537,-48.62939317336495
352360,3523602.0,ITIRAPINA,-22.29455888259015,-47.83404685458375
352370,3523701.0,ITIRAPUÃ,-20.657599822033735,-47.16937128851655
352380,3523800.0,ITOBI,-21.749100508718865,-46.92198287207815
352390,3523909.0,ITU,-23.307105570422816,-47.28455201133518
352400,3524006.0,ITUPEVA,-23.146520309225686,-47.06844870807775
352410,3524105.0,ITUVERAVA,-20.329489502234658,-47.80959913475954
352420,3524204.0,JABORANDI,-20.650036424303842,-48.41599152150666
352430,3524303.0,JABOTICABAL,-21.218344614910883,-48.287928263648915
352440,3524402.0,JACAREÍ,-23.29889331640321,-45.9905688878427
352450,3524501.0,JACI,-20.94524740061347,-49.5811440472445
352460,3524600.0,JACUPIRANGA,-24.77729097335556,-48.05384154438075
352470,3524709.0,JAGUARIÚNA,-22.691984057242816,-47.01273061768561
352480,3524808.0,JALES,-20.285784969239092,-50.55412264371874
352490,3524907.0,JAMBEIRO,-23.279333045425464,-45.71067561311086
352500,3525003.0,JANDIRA,-23.54412707908971,-46.8997346559568
352510,3525102.0,JARDINÓPOLIS,-20.991989363204894,-47.826055423124245
352520,3525201.0,JARINU,-23.111962802191037,-46.72136358271149
352530,3525300.0,JAÚ,-22.29603162222188,-48.5559615871237
352540,3525409.0,JERIQUARA,-20.34016063711269,-47.57411182619817
